글번호,문장
37,['한·미 동맹 70주년 기념 제2회 대한민국음악제']
37,"['\n10월 1일 오후 서울 국립극장 해오름극장서\n\n\n\n한·미 동맹 70주년 기념 제2회 대한민국음악제(대회장 김상복 목사)가 다음 달 1일 오후5시 서울 중구 장충단로 국립극장 해오름극장에서 열린다.행사 주제는 ‘Rise Up Again Korea’(다시 일어서는 대한민국)이다.행사는 (사)이승만건국대통령기념사업회(회장 황교안)가 주최한다.(사)대한민국국가조찬기도회(회장 이봉관 장로), 우남산악회 등이 협찬하고 있다.\n\n\n\n임청화 예술총감독.예술총감독은 소프라노 임청화(백석대) 교수가 맡는다.솔리데오장로합창단(지휘 석성환), 배재아펜젤로합창단(지휘 김효욱), 어린이노래그룹 작은 평화(단장 김미정), 인천콘서트챔버(단장 이승묵), 베하필하모니오케스트라(지휘 김봉미) 등이 연주한다.\n\t\t']"
38,['23세 국대 4번 “홈런 생각 않을 것”…왼손 부족 마운드 숙제']
38,['\n\n\n\n\n2022 항저우 아시안게임 야구 국가대표 노시환(왼쪽)이 문동주와 함께 24일 서울 고척스카이돔에서 취재진 질문에 답하고 있다. 연합뉴스“홈런 생각은 완전히 없애려고 해요. 무조건 정확하게 맞히는 데만 초점을 맞출 생각입니다.”한화 이글스 노시환은 자타공인 2023시즌 프로야구를 대표하는 히트 상품이다. 23살의 나이로 홈런 1위(31개)를 질주하며 신흥 거포의 입지를 굳혔다. 그런 그의 입에서 “짜임새 있는 야구”라는 말이 나왔다. 명예회복을 벼르는 태극전사들의 의지가 엿보였다.2022 항저우 아시안게임 출전을 앞둔 야구 대표팀은 24일 서울 고척스카이돔에서 공식 훈련을 진행했다. 전날에 이어 류중일 감독 및 코치진이 지켜보는 가운데 구슬땀을 흘렸다.중심타자를 예약해둔 노시환은 기자회견을 통해 각오를 다졌다. 지난 21일까지 9월 17경기에서 1홈런으로 부진했던 그는 대표팀 소집 전날인 22일 시즌 31호포를 기록하면서 감을 끌어 올렸다. “상대 팀에 좋은 투수들이 많지만 밀릴 것 같진 않다”고 강조한 그는 “(주 포지션인) 3루 외에 1루 수비도 연습하고 있다. 어느 포지션으로 나가든 자신 있다”고 밝혔다.소속팀 후배이자 마운드의 핵으로 꼽히는 문동주도 마이크 앞에 섰다. 그는 지난 3일 LG 트윈스전을 끝으로 올해 1군 등판을 마무리하고 퓨처스리그에서 회복에 주력했다. 문동주는 “처음 만나면 투수가 유리하다고들 하지 않느냐”며 “(노)시환이 형이 점수 뽑아줄 거라 생각하고 열심히 하겠다”고 웃어 보였다.선수단의 노력과 별개로 대표팀은 소집 직전 한 차례 논란에 휩싸였다. 손가락 물집을 이유로 KIA 타이거즈 이의리를 교체하는 과정이 도마에 올랐다. 부상이 아닌 단순 부진 때문에 이미 정해둔 엔트리에 손을 댄 게 아니냐는 의심이 쏟아졌다. 급기야 류 감독이 직접 “이 상태론 (경기당) 80구 이상 못 던질 거라 생각했다”고 해명에 나섰다.NC 다이노스 구창모에 이어 이의리까지 낙마하며 마운드의 무게감은 확연히 줄었다. 김영규가 합류했지만 전업 좌완 선발이 없는 엔트리로 국제대회를 맞게 됐다. 자연히 상대 좌타자 봉쇄가 핵심 과제로 떠올랐다. 문동주는 “좌타자든 우타자든 가리지 않겠다”며 “어떤 상황에도 준비돼있다”고 강조했다.타선에선 키움 히어로즈 이정후의 공백을 최소화하는 게 급선무다. 김성윤과 윤동희가 승선하면서 가용 자원 자체는 늘어났으나 타격 기량과 국제대회 경험 면에서 이정후의 존재감에 크게 못 미친다.대표팀은 휴식일인 25일 체력을 비축한 뒤 26일 상무와 연습경기로 실전 감각을 점검한다. 출국은 오는 28일이다.\n\t\t']
39,['오늘의 날씨 - 오후 (2023년 09월 24일)']
39,"['\n\n\n\n\n9월 24일 일요일, 오후 날씨입니다.이 시간 현재 대부분 지방이 맑은 날씨를 보이고 있고, 영남·제주 지방은 흐린 날씨를 보이고 있으며, 전남 지방은 구름이 많습니다.현재 기온은 서울 26도, 인천 26도, 수원 25도, 춘천 25도, 강릉 22도, 청주 26도, 대전 25도, 전주 27도, 광주 28도, 대구 25도, 부산 24도, 제주 26도 입니다.내일 아침기온은 서울 17.0도, 인천 18.0도, 수원 18.0도, 춘천 15.0도, 강릉 17.0도, 청주 17.0도, 대전 17.0도, 전주 18.0도, 광주 18.0도, 대구 18.0도, 부산 20.0도, 제주 22.0도로 예상됩니다.이상 날씨였습니다.웨더봇 기자※ 이 기사는 국민일보가 개발한 기상뉴스 전용 인공지능 로봇 ‘웨더봇’이 기상청 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부한 내용과 정확한 문장을 담아 가겠습니다.\n\t\t']"
40,"['尹대통령, 4박 6일 방미 마치고 귀국…내주 방미성과 설명할듯']"
40,"['\n\n\n\n\n4박 6일간의 미국 뉴욕 순방 일정을 마치고 돌아온 윤석열 대통령과 부인 김건희 여사가 23일 경기도 성남 서울공항에 도착, 공군 1호기에서 내리며 인사하고 있다. 대통령실 제공 2023.9.23 뉴스1 윤석열 대통령이 4박 6일간 미국 뉴욕 방문 일정을 모두 마치고 귀국했다.윤 대통령은 23일 오후 부인 김건희 여사와 함께 대통령 전용기인 공군 1호기 편으로 성남 서울공항에 도착했다.이날 공항에는 이상민 행정안전부 장관, 국민의힘 김기현 대표, 윤재옥 원내대표, 김대기 대통령 비서실장, 이진복 정무수석, 오영주 외교부 2차관 등이 나와 윤 대통령과 김 여사를 맞이했다.윤 대통령은 이 장관과 먼저 악수로 인사를 나눴고, 김 대표 등 나머지 환영객들과도 차례로 악수하고 짧은 대화를 나눴다.윤 대통령은 주말 동안 산적한 정국 현안을 보고받고 챙길 예정이다. 특히 한덕수 국무총리에 대한 야당의 해임 건의 대응 방안 등을 논의할 것으로 보인다.다음 주 초에는 국민에게 미국 방문 성과를 설명하는 기회도 갖게 될 전망이다.\n']"
41,['시진핑 만난 韓총리 “성숙한 한중관계 희망… 尹대통령 안부 전달”']
41,"['\n\n\n\n\n비행기에서 내리는 한덕수 국무총리. 뉴시스한덕수 국무총리가 시진핑 중국 국가주석을 만난 자리에서 “한중관계는 상호 존중, 호혜 및 공동 이익에 따라 건강하고 성숙한 한중관계를 발전해 나가기를 희망한다”고 밝혔다.중국 항저우 아시안게임 개막식 참석을 위해 중국을 방문 중인 한덕수 총리는 23일 시진핑(習近平) 중국 국가주석과 만나 “양국은 북한의 지속적인 도발에 따른 역내 긴장 고조는 물론, 세계 경제 불확실성, 공급망 교란 등 글로벌 도전 과제에 함께 직면하고 있다”며 이같이 말했다.한 총리는 “이웃 국가로서 항저우 아시안게임의 성공적 개최를 기원한다”며 “윤석열 대통령의 각별한 안부를 전달해드린다”고 밝혔다.이어 “작년 발리 주요 20개국(G20)에서 계기로 정상회담이 있었고 최근 리창 총리 회담에 이은 오늘 면담을 뜻깊게 생각한다”며 “고위급 교류 소통의 원활한 지속은 한중 관계 발전에 대한 양국의 적극적인 의지를 보여주는 중요한 의미를 갖고 있다고 생각한다”고 말했다.이에 시 주석은 “안정적이고 실질적인 중한 관계는 양국과 양국 인민의 공동이익에 부합하고 지역의 평화와 발전을 촉진하는 데 도움이 된다”며 “중한 관계는 이사 갈 수 없는 가까운 이웃이자 떼려야 뗄 수 없는 협력 동반자”라며 이같이 밝혔다.시 주석은 1992년 한중 수교 이후 양국 관계가 빠르게 발전했다는 점을 강조하며 “올해는 양국이 새로운 30년을 시작하는 해”라며 “전략적 협력 동반자 관계를 시대에 맞춰 발전시키기 위해 노력할 것”이라고 언급했다.시 주석은 “윤석열 대통령에게 안부를 전해달라”면서 아세안 게임과 관련해 대규모 선수단 파견에 사의를 표하고 “한국은 스포츠 강국으로 많은 종목에서 강점이 있다. 선전을 기원한다”고 말했다.\n']"
42,['서울·김포서 일가족 5명 각각 숨진 채 발견…“생활고 유서 발견”']
42,"['\n\n\n\n\n게티이미지뱅크서울과 경기 김포에서 일가족 5명이 각각 숨진 채 발견돼 경찰이 수사에 착수했다.23일 서울 송파경찰서에 따르면 이날 경찰은 오전 7시 29분경 송파구 잠실동의 한 아파트 단지에서 40대 여성 A 씨가 추락했다는 신고를 받았다.A 씨는 심정지 상태로 발견돼 병원으로 옮겨졌으나 사망했다.이후 A 씨의 동선을 확인하는 과정에서 경찰은 송파구 송파동 빌라에서 A 씨의 남편과 시어머니, 시누이가 숨져 있는 것을 발견했다. 또 경기도 김포시에 있는 한 호텔에서 A 씨 부부의 10대 딸이 숨진 채 발견됐다.경찰은 일가족 사망 현장에서 ‘생활고’가 언급된 유서를 발견했다고 밝혔다.이를 토대로 경찰은 일가족의 정확한 사망 원인과 경위를 조사 중이다. 또 사망자 간의 연관성에 대해서도 수사하고 있다.\n']"
43,"['홍준표, 이재명 강성 지지자 ‘개딸’ 호칭에 “좀 더 좋은단어 없나”']"
43,['\n\n\n\n\n홍준표 대구시장. 뉴시스홍준표 대구시장은 이재명 더불어민주당 강성 지지자를 뜻하는 ‘개딸’(개혁의 딸)에 대해 “좀 더 좋고 아름다운 말은 없을까”라고 말했다.홍 시장은 23일 자신의 페이스북에 “개딸이라고 하기에 처음에는 강아지를 지칭하는 줄 알았다”고 밝혔다.홍 시장은 “그게 이 대표를 지지하는 개혁하는 딸들의 준말이라고 하기에 그러면 소신 있는 딸들은 ‘소딸’이냐고 되물어 봤다”며 “우리말을 그렇게 오해할 수 있도록 사용하는 건 참 유감”이라고 지적했다.이어 “개화기에 개혁적이고 선구자적인 여성들을 우리는 ‘신여성’이라고 부르고 칭송했다”며 “개딸보다 좀 더 좋고 아름다운 말은 없을까”라고 했다.그러면서 “이준석 전 (국민의힘) 대표를 지지하는 젊은 청년들은 그럼 ‘개남’이라고 불러야 하나”라고 덧붙였다.\n']
44,"['AI로 아동 성 착취 영상물 제작한 40대 男, 실형…국내최초 사례']"
44,"['\n\n\n\n\n동아일보DB인공지능(AI) 이미지 생성 기능을 활용해 아동 성 착취 영상물을 제작한 40대 남성에게 실형이 선고됐다.23일 법조계에 따르면 부산지법 형사6부(부장판사 김태업)는 아동·청소년의 성보호에 관한 법률(아청법) 위반 혐의로 기소된 A 씨에게 징역 2년 6개월을 선고했다.실제 아동이 신체를 노출하거나 성적 행위를 하는 것이 아닌 AI로 아동 성 착취 영상물을 제작한 제작자가 아청법 위반 혐의로 기소돼 판결이 선고된 경우는 국내에선 처음이다. 이번 재판의 쟁점은 가상인물이 실제 아동으로 인식될 수 있는지에 대한 여부였다.A 씨는 지난 4월 노트북에 설치된 이미지 생성 AI프로그램으로 ‘10살’ ‘나체’, ‘벌거벗은’ 등 명령어를 입력해 가상인물이 등장하는 성 착취물을 제작한 혐의로 재판에 넘겨졌다.재판부는 “헌법재판소에서 실제 아동 청소년이 등장하는 것을 오인할 정도로 만들어진 컴퓨터 합성 사진도 성적 대상으로 묘사하면 아동 청소년 성 착취물에 해당한다는 결정이 있었다”며 “아동 청소년이 등장하는 성 착취물 같은 경우 사람들의 성인식을 왜곡시키고, 또 다른 성범죄를 유발하는 등의 해악이 크다”고 판시했다.그러면서 “AI 프로그램이라는 첨단 기술이 상용화되고 있는데 이런 범죄에 활용한다는 것이 상당히 우려스럽다”고 덧붙였다.A 씨가 제작한 성 착취물은 총 360개에 이르는 것으로 파악됐다. 제작물은 유포되기 전 경찰에 모두 압수됐다.A 씨 측은 “AI 프로그램을 이용해서 단지 텍스트를 입력하고 프로그램이 알아서 이미지를 제작하는 부분까지도 성 착취물이라고 볼 수 있는지 의문”이라며 해당 부분에 대한 법리적 검토가 필요하다고 주장했다. 하지만 재판부는 이를 받아들이지 않았다.\n']"
45,"['‘의정부 교사 사건’ 학생 학부모 다니던 농협, 사과문 올려']"
45,"['\n\n\n\n\nA 농협으로 배달된 근조화환. 온라인 커뮤니티 캡처경기 의정부의 한 초등학교 교사 사망사건과 관련해 숨진 교사에게 악성 민원을 제기한 학부모가 일하던 지역농협에 항의 민원과 함께 근조 화환까지 등장했다. 해당 지역농협은 결국 홈페이지에 사과문을 올렸다.23일 농협에 따르면 숨진 교사에게 악성 민원을 제기한 학부모의 직장으로 알려진 A 농협은 전날 홈페이지에 사과문을 게시했다.A 농협 측은 “돌아가신 선생님의 명복을 빌며 유가족분들에게 깊은 애도의 말씀을 드린다. 당사에 대한 실망과 분노를 겸허히 받아들이고, 본 사항에 대해 절차에 의거 엄중하게 처리하겠다”고 적었다.\n\n\n\nA 농협측이 올린 사과문. A 농협 홈페이지 캡처이어 “임직원들이 윤리적으로 행동하도록 직원 교육에 최선을 다하겠다”며 “다시 한번 고인의 가족, 동료 선생님들께 깊은 사과의 말씀을 드린다”고 고개를 숙였다.A 농협의 홈페이지에는 항의성 글들이 빗발쳤다. 악성 민원 부모가 서울 지역 농협의 부지점장이라는 직장 정보가 인터넷에 공개되면서 이같은 일이 발생한 것이다.해당 농협의 홈페이지에는 직원의 해고를 요구하는 항의 글들이 수백 건 쇄도했고 일부 시민들은 항의 차원의 근조화환을 이 농협 사무실 앞으로 보내기도 했다.\n']"
46,"['‘비명계’ 송갑석, 민주당 최고위원 사퇴…이재명 수용']"
46,"['\n\n\n\n\n지난 11일 광주광역시청에서 열린 2023더불어민주당·광주시 예산정책협의회에서 송갑석 최고위원이 인사말을 하고 있다. 뉴스1비명계(비이재명계)로 분류되는 송갑석 더불어민주당 최고위원이 지난 22일 사의를 표명한 것으로 드러났다. 이재명 대표는 송 최고위원 사의 표명 하루 만에 이를 수용했다.강선우 민주당 대변인은 23일 이 대표가 송 최고위원의 지명직 최고위원직 사의를 수용했다고 밝혔다. 송 최고위원은 전날 이 대표에게 사의를 표명한 것으로 전해졌다.송 최고위원은 비명계로 분류됐지만, 이 대표가 ‘탕평책’의 일환으로 지난 3월 임명했다. 그는 지난 3월 첫 최고위원회의에서 “탕평은 고르게 민심을 청취하는 것”이라며 “무당층의 불신을 마주해야 한다”고 쓴소리를 했다.\n\n\n\n이재명 대표 강성 지지층 ‘개딸’이 작성한 것으로 추정되는 비명계 의원 리스트에 포함된 송갑석 의원. 디시인사이드 이재명 갤러리 캡처지난 21일 국회에선 이 대표 체포동의안이 가결된 이후 이 대표 강성 지지층인 ‘개딸’들 사이에서는 “찬성표를 던진 수박(겉은 민주당, 속은 국민의힘이라는 뜻)을 색출해야 한다”는 목소리까지 나오면서 비명계에 대한 비판 목소리가 높아지고 있다.이같은 분위기에 박광온 원내대표를 비롯한 원내지도부 전원이 사퇴했고, 조정식 사무총장과 정무직 당직자 전원도 이 대표에게 사의를 표명했다. 다만 이 대표는 당직자들에게 “일단 정상 근무를 하라”고 지시했다.송 최고위원 역시 이 대표 체포동의안 가결에 따른 책임을 지고 사의를 표명한 것으로 분석된다. 그는 이 대표 체포동의안이 가결된 직후인 22일 오전 열린 민주당 최고위원회의에도 불참한 바 있다.\n']"
47,"['성추행 누명 쓰고 아이돌 떠난 이 사람, 해병대서 ‘무적’이 되어 돌아왔다[복수자들]']"
47,"['\n\n\n\n\n해병대 콘텐츠를 만드는 유튜버 ‘무적권’으로 활동하고 있는 씨엔블루, 엔플라잉 출신 권광진. 동아일보 유튜브 <복수자들> 캡쳐 아이돌에게 ‘연애’와 ‘결혼’은 금기 중 하나입니다. 성인 간의 사랑이 지탄의 대상이 되는 건 가혹하다는 시선도 있습니다. 하지만 아이돌에게 실력만큼이나 중요한 것은 이미지입니다. 열애설은 아이돌이 구축해 온 판타지를 한 순간에 무너뜨립니다. 나이가 서른 살에 가까운 아이돌 그룹 멤버들이 결혼 소식을 알릴 때 팬들에게 장문의 손편지를 통해 ‘죄송하다’고 사과를 하고, 결혼을 하거나 열애설이 터진 멤버의 탈퇴를 팬들이 나서서 요구하기도 합니다. 엑소의 첸, 하이라이트의 손동운, 아이콘의 바비 모두 비슷한 길을 걸었습니다.  아이돌 밴드 ‘엔플라잉’ 멤버였던 권광진(31)도 금기를 깬 아이돌 중 한 명입니다. FT아일랜드, 씨엔블루를 배출하며 아이돌 밴드 명가로 불렸던 FNC엔터테인먼트의 기대주 엔플라잉으로 2015년 데뷔한 그는 2018년 팬과의 교제로 논란의 중심에 섰습니다. 엎친데 덮친격으로 그가 팬미팅에서 팬을 성추행했다는 루머가 SNS에 퍼졌습니다. 당시 소속사는 “팬과의 교제가 사실로 확인돼 권광진의 탈퇴를 결정”했고, “성추행 의혹에 대해서는 정확한 시시비비를 가릴 것”이라고 밝혔습니다. 추문에 휩싸인 채 팀을 떠났던 권광진이 탈퇴 5년 만에 입을 열었습니다. “당시엔 여자친구의 존재를 떳떳하게 인정하지 못했다”는 그는 열애설 상대였던 팬과 지난해 결혼했습니다. 성추행 루머를 퍼뜨렸던 이들은 2021년 허위사실 유포로 민·형사상 처분을 받았습니다. 탈퇴 후 해병대에 입대한 그는 제대한 뒤 해병대 콘텐츠를 다루는 유튜브 ‘무적권’을 만들어 ‘군튜버’로 활동하고 있습니다. 구독자 11만 명을 넘기며 인기를 끌고 있는 그를 ＜복수자들＞이 만났습니다. 아이돌의 연애에 대한 그의 생각을 동아일보 유튜브 ＜복수자들＞(https://www.youtube.com/watch?v=Py7FeZeKAUs)에서 확인할 수 있습니다. \n\n\n\n자신을 둘러싼 성추행 루머에 대해 해명하고 있는 권광진. 동아일보 유튜브 <복수자들> 캡쳐―2018년 9월 엔플라잉 탈퇴 후 첫 인터뷰에요. 팬과의 교제로 소속사에서 퇴출당하신건데, 그 팬과 지난해 결혼을 하셨다고요. 당시 여자친구였던 지금 아내가 버스 정류장에 제 생일 축하 광고판을 걸었어요. 저도 그걸 보려고 갔다가 현장에 있던 아내와 우연히 마주쳤어요. 광고를 걸고 현장에 와서 챙기는 게 고마워서 제가 번호를 물어봤어요. 예뻐서 반한 것도 있고요(웃음). 연락을 주고받다가 사귀게 됐죠. 교제가 발단이 돼 팀은 탈퇴했지만, 이 친구는 제가 끝까지 책임졌습니다. 지난해 결혼을 했거든요. 처음 팬과 사귄다는 소문이 퍼져서 소속사가 맞느냐고 확인을 했을 때는 “안 사귄다”고 거짓말을 했어요. 아이돌은 연애를 하면 안 된다는 사상교육을 연습생 때부터 받아서 저도 모르게 방어기제가 발동했어요. 결국 교제 사실이 드러나서 소속사가 탈퇴를 결정했죠. 거짓말을 한 건 아직도 반성하고 있습니다. ―성추행 의혹도 있었어요. 허위사실 유포자들을 고소했고, 2021년 유포자들이 형사상 처벌, 민사상 배상 처분을 받았습니다. 그 때 심정이 어떠셨나요? 아이돌 시절을 통틀어 성추행 루머가 가장 견디기 힘들었어요. 제가 하지도 않은 짓으로 비난의 대상이 됐으니까요. 제가 성추행했다는 글을 SNS에 올린 사람이 제 아내와 같이 엔플라잉 팬 활동을 하던 친구였어요. 여자친구가 저와 사귄다고 하니 질투가 났는지, 말도 안 되는 거짓말을 지어내서 글을 올렸더라고요. 허위사실이었기 때문에 저는 경찰에 입건조차 되지 않았고요, 저는 처음 글을 올린 사람과 악플러들을 허위사실 유포로 고소했습니다. 형법상 유죄 판결을 받았고, 민사상 손해배상을 물었어요. 4년여 만에 제가 무고하다는 사실이 밝혀져서 다행이라고 생각해요. \n\n\n\n연습생과 아이돌 생활 12년 동안 늘 발언과 행동을 조심해야 했다는 권광진. 동아일보 유튜브 <복수자들> 캡쳐 2006년 15살의 어린 나이에 FNC에 입사해 10년 가까이 연습생 생활을 했습니다. 정용화, 강민혁, 이종현과 함께 씨엔블루의 데뷔 멤버로 확정돼 일본에서 앨범을 내고 활동했지만, 한국 데뷔 직전 팀 색깔과 맞지 않는다는 이유로 그의 자리를 이정신이 대체했습니다. 한 차례 데뷔의 고배를 마신 뒤 2015년 엔플라잉으로 데뷔했지만 2018년 성추문으로 퇴출당했습니다. 10대와 20대를 바친 10여 년의 연습생 기간에 비해 아이돌로 활동한 기간은 턱 없이 짧았습니다. ―탈퇴 후 멤버들과의 관계는 어떤가요? 멤버들과 종종 연락을 하고 지내다가 3년 전부터는 연락이 두절됐어요. 회사에서는 저와 멤버들이 교류를 한다는 게 사업적으로 안 좋을 거고, 팬들도 저와 멤버들이 연락하는 것을 싫어해서 자연스럽게 끊겼어요. 제가 탈퇴한 직후에 엔플라잉이 ‘옥탑방’으로 음원차트와 가요 프로그램에서 데뷔 후 처음으로 1위를 해서 정말 기뻤어요. 축하글을 제 인스타그램에 올렸는데 팬들에게 항의 메시지가 오더라고요. 안 좋은 이유로 탈퇴했으니 더 이상 멤버들과 엮이지 않길 바라는 마음이었겠죠. 그래서 글을 바로 내렸어요. ―멤버들과 오랜 기간 연습생 생활을 같이 한 가족 같은 관계였을 텐데요. 초반엔 가족 같은 관계이다가 점점 개인주의적 성향으로 바뀌기 시작했어요. 사내정치를 해야 하는 이유가 가장 컸던 것 같아요. 저는 옳고 그름이 확실한 스타일이고 그걸 가감없이 표현하는 성격이거든요. 어느 순간 제 생각을 드러냈을 때 멤버가 “그러면 안 된다”고 말렸어요. 그게 팀에게는 좋은 길이니 그랬을 거예요. 그러다보니 저도 제 생각을 숨기고, 멤버들에게도 솔직하게 터놓질 못했어요. 그런 게 쌓이다보니 점점 비즈니스 관계가 돼 갔어요. ―10년 넘게 연습생 생활을 했는데, 팬과 사귄다는 이유로 탈퇴를 해야 했어요. 억울하거나 아쉽지는 않나요? 너무 어린 나이에 소속사에 들어오다 보니 10년이 넘는 연습생 기간 동안 ‘내가 이 일을 왜 해야 하는가’에 대한 이유를 명확하게 생각해본 적이 없어요. 어렸을 때부터 밴드음악을 좋아해서 막연히 밴드를 해야겠다는 생각으로 연습생이 됐거든요. 지금 생각해보면 저는 아이돌을 하면 안 되는 사람이었어요. 윙크를 하고 하트를 만드는 것도 너무 힘들었고, 아이돌이라면 당연히 해야 하는 걸 못하는 제 모습도 만족스럽지 못했죠. 그러다보니 방송에 나오는 제 모습도 모니터링하지 않았어요. ‘뜨거운 감자’ 때 무대를 보면 카메라도 안 쳐다보고 혼자 무대에서 뱅뱅 돌아요. 그래서인지 아이돌에 아무 미련도 안 남은 것 같아요. \n\n\n\n해병대 3년보다 아이돌 1년이 더 힘들다는 권광진. 동아일보 유튜브 <복수자들> 캡쳐 권광진은 엔플라잉 탈퇴 9개월만인 2019년 9월 해병대에 입대했습니다. 모든 것을 잃은 채 입대한 해병대는 그에게 인생 2막을 열어 주었습니다. 그는 7주간의 신병교육 과정에서 1000여 명의 기수 동기 중 1등에 해당하는 ‘무적해병상’을 받았습니다. 제대 후에는 해병대 관련 콘텐츠로 유튜브 ‘무적권’을 만들어 구독자 11만 명을 넘겼습니다. ―제대 후 해병대 유튜브 채널 ‘무적권’을 개설했어요. 최근 구독자 11만 명을 넘겼는데, 수익활동은 어떻게 하고 계신가요?해병대 관련 굿즈를 판매하는 ‘해병대 스토어’도 운영하고, 유튜브 활동도 하면서 감사하게도 아이돌 때보다 지금 훨씬 더 많이 돈을 벌고 있어요. 제가 엔플라잉 활동 정산이 되기 전에 탈퇴를 해서 그럴 수도 있어요. 일을 하면 돈을 받는 구조를 이해한지가 얼마 안 됐어요. 엔터(테인먼트)라는 곳은 어렸을 때부터 연습생으로 들어가서 팬들의 사랑을 먹고 사는 직업이라는 교육이 무의식에 흘러들어가 있어요. 그러다보니 오늘 스케줄을 가면서도 얼마를 받는지도 모르고, 콘서트를 해도 수익이 정확하게 얼마인지 모르는 거예요. 너무 어리다보니 돈에 대해 민감하지 않았던 것도 있고요. \n\n\n\n권광진이 해병대 기수 동기 중 1등에 해당하는 ‘무적해병상’을 받는 모습.  권광진 제공―기수 동기 중 1등에 해당하는 ‘무적해병상’을 받았어요. 해병대가 왜 그렇게 좋으셨나요?엔플라잉에서 탈퇴했을 때 그 동안 쌓아온 모든 것들이 박살난 상황이었어요. 입대 당시 제 머릿속엔 ‘생존’에 대한 생각밖에 없었어요. 어떻게 살아갈지를 고민하다보니 예전에 추구했던 것들이 다 부질없다는 생각이 들더라고요. 빈손에서 시작하니 해병대 생활에 더 절실하고 열심히 임할 수 있었던 것 같아요. 제가 갖고 있는 모든 에너지를 오롯이 쏟았죠. 군대 생활이 체질에 맞아서 직업군인도 고려했어요. 헬기조종 쪽으로 가려고 교재도 샀는데 어느 날 아버지가 새벽에 제 머리맡에 편지를 두고 나가시더라고요. 헬기 조종은 사고가 나면 무조건 즉사거든요. 위험한 일에 도전한다고 하니 걱정이 되셨는지 그 일을 하지 않았으면 좋겠다고 하셨어요. 군인이 되는 대신 군대 콘텐츠를 만드는 일로 만족하고 있어요. ―병역기피로 논란이 된 남자 연예인들도 많습니다. 그런 사례들을 보면 어떤 생각이 드세요?굉장히 안타까워요. 논란이 일었던 분들 대부분 잘 나가다가 한 순간 병역기피로 활동을 못하잖아요. 그런데 군대가 사실 그렇게 안 빡세거든요. 연예계가 훨씬 더 힘듭니다. 제가 해병대 입대 첫날 느낀 게, ‘잠은 재워주네?’였어요. 저는 연예인 생활을 하면서 잠을 많이 자본 적이 없거든요. 그래서 전 군대에서 오전 5시 반이면 눈이 떠져서 제일 먼저 씻고 자리를 정리했어요. 육체적으로는 해병대가 아이돌보다 더 힘들 순 있지만 시키는 것만 열심히 하면 돼요. 아무리 무거운 걸 메고 훈련을 받아도 정신적으로 힘든 것만 못해요. \n\n\n\n해병대 입대 후 자신을 돌아보고 반성하게 됐다는 권광진. 동아일보 유튜브 <복수자들> 캡쳐 팬과의 교제는 사실이었지만, 당시 사귀던 여자친구와 결혼을 했습니다. 그의 이름 뒤에 꼬리표처럼 따라다녔던 성추행은 사실이 아님이 드러났습니다. 평생을 약속할 정도로 끌렸던 상대와 연애를 했다는 이유만으로 퇴출당해야 했던 당시 상황이 억울할 법도 하지만 권광진은 “누구의 탓을 할 것도 없다. 오로지 내 부주의였다”고 말합니다.  ―해병대가 여러 모로 삶의 터닝포인트였던 것 같은데요, 가장 크게 달라진 점이 있다면요.탈퇴 직후에는 성추행 루머를 퍼뜨린 팬을 비롯해 주변 사람들을 탓했어요. 군대에서 저를 되돌아보는 시간을 가지게 됐어요. 제 부주의로 팀을 탈퇴하게 됐기에 누구를 탓할 일이 아니더라고요. 연습을 열심히 안했거나, 누군가에게 무례하게 행동했던 제 잘못들이 많이 떠올랐어요. 요즘엔 온라인에 성추행 루머를 올렸던 분들에게도 미안한 마음까지 들어요. 처음엔 제가 좋아서 팬 활동을 시작했던 분들이잖아요. 제가 성실하게 활동했다면 그 분들이 그러지도 않았을 텐데…. 한때 제 팬이었던 사람들에게 피해보상까지 받고 ‘나도 참 악랄했다’는 생각도 들더라고요. 다 제 잘못이라는 반성을 많이 하게 됐어요. \n\n\n\n권광진 제공.―앞으로의 목표가 궁금합니다. 제 별명이 ‘권하마’에요. 방송 중에 물을 많이 마셔서 구독자 분들이 붙여 주신 별명인데요. 물을 많이 먹는 이유가 혼자서 쉴 새 없이 말을 해서 그래요. 처음 라이브 방송을 할 때는 시청자가 2, 3명밖에 없었는데, 그 사람들을 위해서 몇 시간동안 열심히 떠들던 게 습관이 돼서요. 그런데 전혀 힘들지 않아요. 아이돌 때는 제가 생각했던 것들을 마음대로 발언할 수 없고, 항상 조심해야 했어요. 만들어진 이미지에 갇혀서 ‘내가 아닌 나’로 살아갔던 것 같아요. 지금은 제가 원하는 콘텐츠를 만들고, 제가 원하는 스케줄을 잡잖아요. 무적권 채널도 스스로의 힘으로 키워가고 있고요. 그래서 어떤 일이 닥쳐도 이겨낼 수 있다고 믿어요. \n']"
48,['“어릴 때 학대 트라우마 생기면 ‘조현병’ 등 정신질환 위험 커져”']
