단어,포함된 문장
렉카유튜버,tv시절이라 공론화 빨리 안되고 묻힌게 젤 안타까움 이게 23년이였으면 하루만에 전국민 알게되고 렉카유튜버들이 범인까지 다 찾아냈을텐데
막짤갑,막짤갑 ㅋㅋㅋㅋㅋ - 꼬우면 AAA게임 갤러리로
매국당,국짐 매국당 총선때 민주당 200석으로 심판하자!!
모르노,대본인거 모르노  - dc App
못건,한녀는 쓰레기맞는데 병신같은 날조는 하지말자 이혼과정에서 이미 재산분할이 끝났으니까 또 재산분할해달라고 소송못건다는말이지 외국여자랑 결혼했다가 이혼해도 재산분할 안해줘도 된다는 말이 아니다 양육권은 가져간쪽이 무조건 양육비받는건 한녀랑 이혼해도 똑같은거고
무슨맘,계집들이 채팅을 무슨맘 무슨맘 이름불러주세요 뒤에귀신있어요ㅇㅈㄹ나서 뿌주부 안나오기시작했지
민좆당,민좆당 인사잖아 ㅋㅋㅋ
보시라,저 전시회를 총괄하고 저위에 댓글도배하고있는 그 독일인의사라는 양반은 저 구카이라이의 후원을 받는 의사였슴.  보시라이가 결국 숙청되긴했지만서도.. 정말 인간백정수준이었다.. 진심
분탕충,분탕충이 아니고서야 아직도 ㅈ인범 빠는새끼들은 걍 나가죽어 븅신들아 그저 fc코리아 버러지새끼들 뭐 뒷주머니에 찔러라도 주디?
뷰자,한녀들 제발 전라도에 몰빨 시키고 더불어 여성중심사회 이렇게 선동해서 뷰자 없는 모두가 평등한 자치구 만들겠다고 좀 하고 느그들 끼리 노예로 쓰던 성노예로 쓰던 제발 좌빨 새끼글아 니들끼리 살아 제발
생각함,여자라는 이유로 하도 특혜 받으며 사니까 보룡인인 내가 하는 말이 곧 법이고 사회라는 인식이 당연하다고생각함 - dc App
생각함,투표를 왜 함? 민주주의가 작동한다고 생각함? 투표는 너희 개돼지들이 선택하고 있다는 착각을 주기 위한 장치임 ㅋㅋ 당장 미국만 봐도 부자들은 더 부자가 되고 거지들은 도둑질 하고 다녀서 통제가 안될정도임 ㅋㅋㅋ 민주주의 자체가 작동이 불가능하다고 왜냐면 너네가 뽑고 싶어하는 정치인은 그 라인에 설 수가 없어 왜냐면 정치인이 될 수 있는 애들은 이미 타락하고 약점 많은 애들만 갈 수 있거든 이미 정치라는것 권력가 자본력에 타락했음 니들이 정치를 바꾸고 싶으면 투표가 아니라 좆같은 정치인 칼빵 넣어야 됨
생각함,개고기점 그만 처먹어라 개가 얼마나 순종적이고 귀여운 동물인데 ㅇㅇ 근데 개인적으로 큰 개는 징그럽다 생각함 큰개만 잡아드셈 ㅇㅇ
생각함,솔직히 본인 직업 경찰이라고 하면서 기세등등한 새키들보면 속으로 어휴 ㅈ병신 견찰새키라고 생각함
설정상,디지몬 망한건 세계관 통일을 못해서임 매 시리즈마다 초기화되고 뼈대만 겨우 유지하는데 뭔 의미가 있노...12신 4성수 7대악마 4대천사 신 어쩌고 다 한가닥 하는놈들은 많은데 결국 맨날 해보면 오메가몬식 조그레스 초궁극체들이 짱먹음 설정상으론 스사노오몬이 개씹어나더레벨이여야 하는데
세모왕,우크라이나 전황은 역시 세모왕!  - dc App
순수재미,초아 이은결나오고 딱 초창기 10회분까지가 마지노선 이후 댓글검열하고 중간에 뇌절하는 맘충 들어오고 순수재미가 사라짐
스윗세대,스윗세대 답없음 인구도 많고 한녀랑 결합까지함
실압근,캬 장제사 실압근 정력왕...
싱벙갤,싱벙갤 = 페미니스트 갤
싱벙갤,싱벙갤에서 주장한다 = 틀렸다.그냥 한녀들이 가축보고 반려동물 어쩌구하니까 억까하려는 한녀식 가스라이팅 글
어쩌자,개고기 사업장마다 10억씩 던져줄것도 아니고 금지시키면 어쩌자는 거임.
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
올리지,근데 방송캡쳐할거면 영상으로 올리지 짤로올려서 스압 존나심하노
웅챠,ㅋㅋ 디시에서 일베나고일베에서 메갈 워마드 이기데스노웅챠  나오는데니들이 잘도 봉기니 어쩌니 깨시민인척  개지랄해봤자
웅챠,정상적인 인간여성 : 국가에대한 의무를 수행하고 그 댓가로 권리를 행사하기 위해 여성징병 하라고 주장한녀 : 응 군캉스 한남충들만허버허버 가라이기야노데스웅챠 ㅋㅋ
의주빈,의주빈
의주빈,또 의주빈 너야?
의주빈,"치과의사 << 진짜 좆같은 새끼들임 나도 시발 레진 떨어진거 메꿔달랬더니 이 주변 다 갈아놔서 지금 신경치료 받으러 다닌다 그냥 무조건 대학병원으로 가라 치과는 진짜 의주빈, 한무당 그이상이야 이새끼들은 그냥 그자리에서 존나 겁줌"
인칸,스시녀들 플러팅 존나 잘하더라ㅋㅋㅋㅋ 이치란에서 라멘 먹는데 1인칸이라 존나 좁은데도 내 칸으로 은근슬쩍 알려주는척 고개 밀어넣음ㅋㅋㅋ
저걸,민주당 그새끼들 불륜 대상이 페미년들일 가능성 있음.. 카톡 내용에 죤나 민감한 민주당 새끼들 보면 약간 의심듬.. 게다가 내연녀니 뭐 시발 말 지어내는 것들도 보면 그냥 첨에 카톡 저걸로 왜 불륜이 나오지? 이랬는데 생각해보니까 더러운 새끼가 남도 더럽게 본다는 성경 내용 보고서 생각이 듬.. 보통 중2병 늦어도 성인되면 풀리기 마련인데 30대 되서도 한남 이지랄 떠는거 보면 이성적으로 취급을 못 받았던가 아니면 어디 종속관계로 있었을 가능성 있음.. 세상엔 꽁짜 없다고 부인은 못되고 내연녀로 남으니까 한남은 미워 뒤지겠고 살기위해서라도 민주당은 빨아야 하고 그런거지
저걸,지금 생각하면 참 기괴하긴하네 저걸 애데리고 보러간 사람들도 있었으니 그냥 모형쯤이라고 생각한듯
저걸,저걸 예술로 포장한 것도 웃기고 그걸 또 과학이랍시고 들여와서 전시한 것도 넌센스다
저걸,저걸 세탁 ㄷㄷ
저걸,막상 자세히 파해쳐 보면검사가 저걸 그냥 두는 근거가 다 있음 ㄹㅇ로
저걸,저걸 안죽여?!
저걸,븅신 저걸 못거르네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
저새,하 저새끼 어릴때 진화시키는거 좆나 어려웠는데열번중 아홉번은 모야몬인가 그거 좆같은걸로 진화함
저새,저새끼가 뛰었을때보다 더 시끄러웠을 02때 이운재는 잘만 막았음. 지 실력탓을 관중탓으로 한게 맞지
저새,딱보니까 경찰새끼중에 저새끼한테 돈빌려줬는데 잡혀가면 돈 못받으니까 안잡은거네 짭새새끼
저새,260일에 월급도 낭낭하게 주니까 할만하지 헬조선마냥 650일 박아놓고 최저시급도 안주면 스위스 저새끼들도 징징댐 ㅋㅋㅋ
저새,근데 김여시 저새낀뭐냐?  - dc App
저새,황인범 저새낀 걍 축리웹 영웅인데 간첩질 그만하고 꺼져라 좀 왜 욕하면서 자꾸 쳐기어들어오냐 장애인인가 ㅅㅂ
저새,저새끼가 깝쳐댈수록 민주당 200석이 꿈도 아니게 됨. 더 깝쳐대라.
정향돈,길어서 걍 내렸고 정향돈은 재미가 그닥...
조질라,저거 다리는 아마 과속충 조질라고 저렇게 만든거임. 싱가포르도 도로 일부러 과속 줄이려고 구불구불하게 만듬
좆대남,좆대남 개병신들 윤석열 욕할시간에 경선투표 홍준표 뽑았으면 지들이 버려질 일은 없었을텐데 투표안하고 알빠노하다가 쳐맞은거 존나 통쾌하네 컄ㅋㅋㅋㅋ
좆대남,아오 좆대남 븅신새끼들 그렇게 여성징병 하고싶으면 니들이 나가서 시위하세요 계집새끼도 아니고 맨날 이런 커뮤에서만 징징징 꼬추떼 여성유방새끼들아 ㅉ
좆찰,미제사건 - 대부분 씹좆찰들이 잘못한거
증오선동,이새기들이랑 대화해보면 아닌척해도 목적성이 보임여자나 남자 환경  이런건 정체성을 숨기려는거고 본 목적은 증오선동해서 사회분열시키는게 목표임민주당 아닌척 쑈해도 결국 성범죄랑 세금횡령에 입다물고 다시 민주당 선동에 가담함민주당 산하단체가 저런 더러운짓 해놓고 댓글로 여자전체로 덮어씌우고 갈등유발시켜서 또 이득보고 이거 반복 ㅋㅋㅋ
쮸나,쮸나야 바이럴 하지마라
쮸나,심형탁 또 올라왔길래 모르고 비추줬는데 다시올려보니 쮸쮸나햄 얘기네 ㅋㅋㅋㅋ
쮸나,쮸쮸나 주가조작 공정거래위원회에 신고했다
쮸나,쮸쮸나 철 좀 들었냐?
쮸나,쮸나 이름이 존나 깜찍하놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
쮸나,대쮸나 ㅋㅋ
쮸나,쮸쮸나 솔직히 스시녀랑 결혼하고 사람된듯  - dc App
쮼쮼,어 쮼쮼이 형이야
착페죽페,착페죽페
찬밥단,찬밥단 기습만화그리기 현실은 벤치따악~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
찬밥단,찬밥단이 짭시티가는 망상하고 그림 그렸노
찬밥단,찬밥단 기습취사라이팅 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
찬밥단,정보 : 찬밥단만 발작중이다
찬밥단,찬밥단은 실력으로 황인범이나 제끼고 와야...
총기허용,총기허용 됬으면 총맞아 죽는 치과의사 넘쳐났을거다
털물,개농장쪽은 분뇨처리시설안했으니까 대가리 따버리면되겠고털물단체는 ㅈ까라하고 걍 무시하는게 낫겠노
투툴,달리기 슛팅 투툴인데 뭔 축구보는 눈이나 있냐
트타쿠,댓글 검열에 맘충묻어서 곱창나고 망함트위치 넘어와서 트타쿠 뇌절에 또망함ㅋㅋㅋㅋ
파라과,난 어딜가도 남미사람같다 함 일본에 있을때도 파라과이 브라질 아르헨티나 여자랑만 사귐 스시녀도3명 사겼음
파란밥,파란밥 도랏나 ㅋㅋㅋㅋ
펨코남,거북유방 나온 펨코남 보다 대깨윤 야순이들이 국방 더 잘 지킬 듯
펨코충,해충 = 펨코충 = 3개월짜리
퐁퐁남,아 이건 큰데 ㅋㅋ 퐁퐁남들은 결혼생활만 패배한게 아니라 이혼까지 패배한거네
한정해,치과가 덤탱이 씌우는 건 여러번 보긴 했음남들 5만원 받는 걸 6만원 달라~ 하는 경우나레진으로 끝날 걸 손상 부위에 한정해 임플란트 고집하는 경우근데 저렇게 모든 생니를 다 임플란트 쳐버리는 건 첨보는데
흉내낼,조센징들이 토론비슷한거 흉내낼때 보면 존나 웃긴게 자유를 이유없이 침해하면 안된다는 생각이 전혀 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
